"Influenza Hospitalization Rates (per 100,000 population) are for the "FluSurv-NET Network (downloaded on Oct-08-2014)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,SEASON,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,RATE 
Entire Network,FluSurv-NET,2009-10,2009,35,0-4 yr,0.5
Entire Network,FluSurv-NET,2009-10,2009,36,0-4 yr,2.5
Entire Network,FluSurv-NET,2009-10,2009,37,0-4 yr,4.6
Entire Network,FluSurv-NET,2009-10,2009,38,0-4 yr,6.7
Entire Network,FluSurv-NET,2009-10,2009,39,0-4 yr,10.9
Entire Network,FluSurv-NET,2009-10,2009,40,0-4 yr,18.1
Entire Network,FluSurv-NET,2009-10,2009,41,0-4 yr,28.3
Entire Network,FluSurv-NET,2009-10,2009,42,0-4 yr,39.1
Entire Network,FluSurv-NET,2009-10,2009,43,0-4 yr,47.3
Entire Network,FluSurv-NET,2009-10,2009,44,0-4 yr,53.3
Entire Network,FluSurv-NET,2009-10,2009,45,0-4 yr,57.5
Entire Network,FluSurv-NET,2009-10,2009,46,0-4 yr,60.1
Entire Network,FluSurv-NET,2009-10,2009,47,0-4 yr,61.6
Entire Network,FluSurv-NET,2009-10,2009,48,0-4 yr,62.9
Entire Network,FluSurv-NET,2009-10,2009,49,0-4 yr,64.1
Entire Network,FluSurv-NET,2009-10,2009,50,0-4 yr,65.1
Entire Network,FluSurv-NET,2009-10,2009,51,0-4 yr,66.3
Entire Network,FluSurv-NET,2009-10,2009,52,0-4 yr,67.4
Entire Network,FluSurv-NET,2009-10,2010,1,0-4 yr,68.4
Entire Network,FluSurv-NET,2009-10,2010,2,0-4 yr,69
Entire Network,FluSurv-NET,2009-10,2010,3,0-4 yr,70.3
Entire Network,FluSurv-NET,2009-10,2010,4,0-4 yr,71.3
Entire Network,FluSurv-NET,2009-10,2010,5,0-4 yr,72.4
Entire Network,FluSurv-NET,2009-10,2010,6,0-4 yr,73
Entire Network,FluSurv-NET,2009-10,2010,7,0-4 yr,73.7
Entire Network,FluSurv-NET,2009-10,2010,8,0-4 yr,74.2
Entire Network,FluSurv-NET,2009-10,2010,9,0-4 yr,74.7
Entire Network,FluSurv-NET,2009-10,2010,10,0-4 yr,75.1
Entire Network,FluSurv-NET,2009-10,2010,11,0-4 yr,75.5
Entire Network,FluSurv-NET,2009-10,2010,12,0-4 yr,75.8
Entire Network,FluSurv-NET,2009-10,2010,13,0-4 yr,76.1
Entire Network,FluSurv-NET,2009-10,2010,14,0-4 yr,76.5
Entire Network,FluSurv-NET,2009-10,2010,15,0-4 yr,76.8
Entire Network,FluSurv-NET,2009-10,2010,16,0-4 yr,77.2
Entire Network,FluSurv-NET,2009-10,2010,17,0-4 yr,77.4
Entire Network,FluSurv-NET,2010-11,2010,40,0-4 yr,0.1
Entire Network,FluSurv-NET,2010-11,2010,41,0-4 yr,0.3
Entire Network,FluSurv-NET,2010-11,2010,42,0-4 yr,0.6
Entire Network,FluSurv-NET,2010-11,2010,43,0-4 yr,0.9
Entire Network,FluSurv-NET,2010-11,2010,44,0-4 yr,1.2
Entire Network,FluSurv-NET,2010-11,2010,45,0-4 yr,1.5
Entire Network,FluSurv-NET,2010-11,2010,46,0-4 yr,1.8
Entire Network,FluSurv-NET,2010-11,2010,47,0-4 yr,2.2
Entire Network,FluSurv-NET,2010-11,2010,48,0-4 yr,3.1
Entire Network,FluSurv-NET,2010-11,2010,49,0-4 yr,4.1
Entire Network,FluSurv-NET,2010-11,2010,50,0-4 yr,5.1
Entire Network,FluSurv-NET,2010-11,2010,51,0-4 yr,6.3
Entire Network,FluSurv-NET,2010-11,2010,52,0-4 yr,8.3
Entire Network,FluSurv-NET,2010-11,2011,1,0-4 yr,10.1
Entire Network,FluSurv-NET,2010-11,2011,2,0-4 yr,12.6
Entire Network,FluSurv-NET,2010-11,2011,3,0-4 yr,15.4
Entire Network,FluSurv-NET,2010-11,2011,4,0-4 yr,18.9
Entire Network,FluSurv-NET,2010-11,2011,5,0-4 yr,23.4
Entire Network,FluSurv-NET,2010-11,2011,6,0-4 yr,27.2
Entire Network,FluSurv-NET,2010-11,2011,7,0-4 yr,31.1
Entire Network,FluSurv-NET,2010-11,2011,8,0-4 yr,35.7
Entire Network,FluSurv-NET,2010-11,2011,9,0-4 yr,38.9
Entire Network,FluSurv-NET,2010-11,2011,10,0-4 yr,42
Entire Network,FluSurv-NET,2010-11,2011,11,0-4 yr,44.4
Entire Network,FluSurv-NET,2010-11,2011,12,0-4 yr,46.3
Entire Network,FluSurv-NET,2010-11,2011,13,0-4 yr,47.4
Entire Network,FluSurv-NET,2010-11,2011,14,0-4 yr,48.1
Entire Network,FluSurv-NET,2010-11,2011,15,0-4 yr,48.7
Entire Network,FluSurv-NET,2010-11,2011,16,0-4 yr,49.2
