Number of Influenza-Associated Pediatric Deaths by Week of Death data downloaded on Oct-10-2014,,,,,
SEASON,TOTAL DEATHS,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2012-13,171,79,88,1,0
,,,,,
SEASON,WEEK NUMBER,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2012-13,2012-40,1,0,0,0
2012-13,2012-41,0,0,0,0
2012-13,2012-42,0,0,0,0
2012-13,2012-43,1,1,0,0
2012-13,2012-44,0,0,0,0
2012-13,2012-45,0,0,0,0
2012-13,2012-46,2,1,0,0
2012-13,2012-47,1,1,0,0
2012-13,2012-48,2,5,0,0
2012-13,2012-49,1,0,0,0
2012-13,2012-50,5,5,0,0
2012-13,2012-51,3,2,0,0
2012-13,2012-52,1,5,0,0
2012-13,2013-01,10,3,0,0
2012-13,2013-02,6,3,0,0
2012-13,2013-03,4,4,0,0
2012-13,2013-04,12,4,0,0
2012-13,2013-05,6,3,0,0
2012-13,2013-06,5,4,0,0
2012-13,2013-07,1,7,0,0
2012-13,2013-08,3,7,0,0
2012-13,2013-09,3,4,0,0
2012-13,2013-10,0,3,0,0
2012-13,2013-11,2,6,0,0
2012-13,2013-12,2,5,0,0
2012-13,2013-13,1,3,1,0
2012-13,2013-14,0,5,0,0
2012-13,2013-15,0,3,0,0
2012-13,2013-16,1,3,0,0
2012-13,2013-17,1,1,0,0
2012-13,2013-18,0,0,0,0
2012-13,2013-19,0,0,0,0
2012-13,2013-20,1,0,0,0
2012-13,2013-21,1,0,0,0
2012-13,2013-22,0,0,0,0
2012-13,2013-23,0,0,0,0
2012-13,2013-24,0,0,0,0
2012-13,2013-25,0,0,0,0
2012-13,2013-26,0,0,0,0
2012-13,2013-27,1,0,0,0
2012-13,2013-28,0,0,0,0
2012-13,2013-29,0,0,0,0
2012-13,2013-30,0,0,0,0
2012-13,2013-31,0,0,0,0
2012-13,2013-32,0,0,0,0
2012-13,2013-33,1,0,0,0
2012-13,2013-34,0,0,0,0
2012-13,2013-35,0,0,0,0
2012-13,2013-36,0,0,0,0
2012-13,2013-37,0,0,0,0
2012-13,2013-38,0,0,0,0
2012-13,2013-39,1,0,0,0
