Number of Influenza-Associated Pediatric Deaths by Week of Death data downloaded on Oct-10-2014,,,,,
SEASON,TOTAL DEATHS,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2013-14,108,88,16,2,2
,,,,,
SEASON,WEEK NUMBER,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2013-14,2013-40,0,0,0,0
2013-14,2013-41,0,0,0,0
2013-14,2013-42,1,0,0,0
2013-14,2013-43,0,0,0,1
2013-14,2013-44,0,0,0,0
2013-14,2013-45,0,0,0,0
2013-14,2013-46,0,0,0,0
2013-14,2013-47,1,0,0,0
2013-14,2013-48,0,0,0,0
2013-14,2013-49,1,0,0,0
2013-14,2013-50,2,0,0,0
2013-14,2013-51,3,0,0,0
2013-14,2013-52,6,0,1,0
2013-14,2014-01,6,0,1,0
2013-14,2014-02,11,0,0,0
2013-14,2014-03,12,1,0,0
2013-14,2014-04,9,0,0,0
2013-14,2014-05,7,0,0,0
2013-14,2014-06,7,0,0,0
2013-14,2014-07,2,0,0,0
2013-14,2014-08,1,2,0,1
2013-14,2014-09,5,0,0,0
2013-14,2014-10,2,3,0,0
2013-14,2014-11,0,1,0,0
2013-14,2014-12,2,0,0,0
2013-14,2014-13,0,3,0,0
2013-14,2014-14,0,1,0,0
2013-14,2014-15,1,0,0,0
2013-14,2014-16,3,0,0,0
2013-14,2014-17,1,1,0,0
2013-14,2014-18,2,1,0,0
2013-14,2014-19,0,1,0,0
2013-14,2014-20,0,0,0,0
2013-14,2014-21,1,0,0,0
2013-14,2014-22,0,1,0,0
2013-14,2014-23,1,1,0,0
2013-14,2014-24,0,0,0,0
2013-14,2014-25,0,0,0,0
2013-14,2014-26,0,0,0,0
2013-14,2014-27,0,0,0,0
2013-14,2014-28,0,0,0,0
2013-14,2014-29,0,0,0,0
2013-14,2014-30,0,0,0,0
2013-14,2014-31,0,0,0,0
2013-14,2014-32,1,0,0,0
2013-14,2014-33,0,0,0,0
2013-14,2014-34,0,0,0,0
2013-14,2014-35,0,0,0,0
2013-14,2014-36,0,0,0,0
2013-14,2014-37,0,0,0,0
2013-14,2014-38,0,0,0,0
2013-14,2014-39,0,0,0,0
