Number of Influenza-Associated Pediatric Deaths by Week of Death data downloaded on Oct-10-2014,,,,,
SEASON,TOTAL DEATHS,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2004-05,47,28,17,2,0
2005-06,46,29,12,5,0
2006-07,77,55,18,4,0
,,,,,
SEASON,WEEK NUMBER,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2004-05,2004-40,0,0,0,0
2004-05,2004-41,0,0,0,0
2004-05,2004-42,0,0,0,0
2004-05,2004-43,0,0,0,0
2004-05,2004-44,0,0,0,0
2004-05,2004-45,0,0,0,0
2004-05,2004-46,0,0,0,0
2004-05,2004-47,0,0,0,0
2004-05,2004-48,0,0,0,0
2004-05,2004-49,0,0,0,0
2004-05,2004-50,0,0,0,0
2004-05,2004-51,1,0,0,0
2004-05,2004-52,1,0,0,0
2004-05,2005-01,1,0,0,0
2004-05,2005-02,3,0,0,0
2004-05,2005-03,2,0,0,0
2004-05,2005-04,1,1,0,0
2004-05,2005-05,1,0,0,0
2004-05,2005-06,2,2,1,0
2004-05,2005-07,2,3,0,0
2004-05,2005-08,2,0,1,0
2004-05,2005-09,3,2,0,0
2004-05,2005-10,3,1,0,0
2004-05,2005-11,3,1,0,0
2004-05,2005-12,0,2,0,0
2004-05,2005-13,1,1,0,0
2004-05,2005-14,1,0,0,0
2004-05,2005-15,0,1,0,0
2004-05,2005-16,0,2,0,0
2004-05,2005-17,0,1,0,0
2004-05,2005-18,0,0,0,0
2004-05,2005-19,0,0,0,0
2004-05,2005-20,0,0,0,0
2004-05,2005-21,0,0,0,0
2004-05,2005-22,0,0,0,0
2004-05,2005-23,0,0,0,0
2004-05,2005-24,0,0,0,0
2004-05,2005-25,0,0,0,0
2004-05,2005-26,0,0,0,0
2004-05,2005-27,0,0,0,0
2004-05,2005-28,0,0,0,0
2004-05,2005-29,0,0,0,0
2004-05,2005-30,0,0,0,0
2004-05,2005-31,0,0,0,0
2004-05,2005-32,1,0,0,0
2004-05,2005-33,0,0,0,0
2004-05,2005-34,0,0,0,0
2004-05,2005-35,0,0,0,0
2004-05,2005-36,0,0,0,0
2004-05,2005-37,0,0,0,0
2004-05,2005-38,0,0,0,0
2004-05,2005-39,0,0,0,0
2005-06,2005-40,0,0,0,0
2005-06,2005-41,1,0,0,0
2005-06,2005-42,0,0,0,0
2005-06,2005-43,0,0,0,0
2005-06,2005-44,0,0,0,0
2005-06,2005-45,1,0,0,0
2005-06,2005-46,0,0,0,0
2005-06,2005-47,0,0,0,0
2005-06,2005-48,1,0,0,0
2005-06,2005-49,0,0,0,0
2005-06,2005-50,0,0,0,0
2005-06,2005-51,2,0,1,0
2005-06,2005-52,2,0,0,0
2005-06,2006-01,1,0,1,0
2005-06,2006-02,4,1,0,0
2005-06,2006-03,1,0,0,0
2005-06,2006-04,1,0,0,0
2005-06,2006-05,1,0,0,0
2005-06,2006-06,1,0,0,0
2005-06,2006-07,2,0,1,0
2005-06,2006-08,3,0,0,0
2005-06,2006-09,0,0,0,0
2005-06,2006-10,4,0,0,0
2005-06,2006-11,0,0,0,0
2005-06,2006-12,1,1,0,0
2005-06,2006-13,0,3,0,0
2005-06,2006-14,2,2,1,0
2005-06,2006-15,0,1,0,0
2005-06,2006-16,0,0,0,0
2005-06,2006-17,0,1,0,0
2005-06,2006-18,0,1,0,0
2005-06,2006-19,0,1,1,0
2005-06,2006-20,1,0,0,0
2005-06,2006-21,0,1,0,0
2005-06,2006-22,0,0,0,0
2005-06,2006-23,0,0,0,0
2005-06,2006-24,0,0,0,0
2005-06,2006-25,0,0,0,0
2005-06,2006-26,0,0,0,0
2005-06,2006-27,0,0,0,0
2005-06,2006-28,0,0,0,0
2005-06,2006-29,0,0,0,0
2005-06,2006-30,0,0,0,0
2005-06,2006-31,0,0,0,0
2005-06,2006-32,0,0,0,0
2005-06,2006-33,0,0,0,0
2005-06,2006-34,0,0,0,0
2005-06,2006-35,0,0,0,0
2005-06,2006-36,0,0,0,0
2005-06,2006-37,0,0,0,0
2005-06,2006-38,0,0,0,0
2005-06,2006-39,0,0,0,0
2006-07,2006-40,0,0,0,0
2006-07,2006-41,0,0,0,0
2006-07,2006-42,0,0,0,0
2006-07,2006-43,0,0,0,0
2006-07,2006-44,0,0,0,0
2006-07,2006-45,0,0,0,0
2006-07,2006-46,0,0,0,0
2006-07,2006-47,0,0,0,0
2006-07,2006-48,0,0,0,0
2006-07,2006-49,1,0,0,0
2006-07,2006-50,0,0,0,0
2006-07,2006-51,3,1,0,0
2006-07,2006-52,2,0,0,0
2006-07,2007-01,1,0,0,0
2006-07,2007-02,1,0,0,0
2006-07,2007-03,1,0,0,0
2006-07,2007-04,2,0,1,0
2006-07,2007-05,5,0,0,0
2006-07,2007-06,4,0,0,0
2006-07,2007-07,8,3,0,0
2006-07,2007-08,7,3,1,0
2006-07,2007-09,3,0,2,0
2006-07,2007-10,2,3,0,0
2006-07,2007-11,4,4,0,0
2006-07,2007-12,2,1,0,0
2006-07,2007-13,1,1,0,0
2006-07,2007-14,1,1,0,0
2006-07,2007-15,3,1,0,0
2006-07,2007-16,0,0,0,0
