WEEK,TOTAL SPECIMENS
1,62944.0
2,64667.0
3,63227.0
4,62224.0
5,59147.0
6,56586.0
7,56397.0
8,53129.0
9,49681.0
10,47157.0
11,43600.0
12,38890.0
13,35399.0
14,32178.0
15,29369.0
16,26266.0
17,24013.0
18,22016.0
19,20118.0
20,19199.0
21,18040.0
22,16260.0
23,15344.0
24,14411.0
25,13571.0
26,12061.0
27,10810.0
28,10869.0
29,10872.0
30,10462.0
31,10576.0
32,10837.0
33,11348.0
34,12246.0
35,13804.0
36,14601.0
37,16948.0
38,17999.0
39,17935.0
40,16186.0
41,18006.0
42,18572.0
43,19154.0
44,20369.0
45,23025.0
46,24038.0
47,24875.0
48,27272.0
49,33245.0
50,38098.0
51,44164.0
52,48316.0
