,Group,Region,Area,Month,VaccinatedPct,95 CI,Year
0,Children 6 mos−17 yrs,National,United States,7,1.5,(±0.2),2013-14
1,Children 6 mos−17 yrs,National,United States,8,6.0,(±0.4),2013-14
2,Children 6 mos−17 yrs,National,United States,9,15.7,(±0.5),2013-14
3,Children 6 mos−17 yrs,National,United States,10,35.4,(±0.6),2013-14
4,Children 6 mos−17 yrs,National,United States,11,47.5,(±0.7),2013-14
5,Children 6 mos−17 yrs,National,United States,12,52.3,(±0.7),2013-14
6,Children 6 mos−17 yrs,National,United States,1,55.6,(±0.7),2013-14
7,Children 6 mos−17 yrs,National,United States,2,57.2,(±0.7),2013-14
8,Children 6 mos−17 yrs,National,United States,3,58.1,(±0.7),2013-14
9,Children 6 mos−17 yrs,National,United States,4,58.6,(±0.8),2013-14
10,Children 6 mos−17 yrs,National,United States,5,58.9,(±0.8),2013-14
682,Children 6 mos−17 yrs,National,United States,7,1.6,(±0.2),2012-13
683,Children 6 mos−17 yrs,National,United States,8,6.2,(±0.4),2012-13
684,Children 6 mos−17 yrs,National,United States,9,15.4,(±0.5),2012-13
685,Children 6 mos−17 yrs,National,United States,10,32.5,(±0.6),2012-13
686,Children 6 mos−17 yrs,National,United States,11,43.6,(±0.7),2012-13
687,Children 6 mos−17 yrs,National,United States,12,48.7,(±0.8),2012-13
688,Children 6 mos−17 yrs,National,United States,1,53.0,(±0.8),2012-13
689,Children 6 mos−17 yrs,National,United States,2,54.7,(±0.8),2012-13
690,Children 6 mos−17 yrs,National,United States,3,55.6,(±0.8),2012-13
691,Children 6 mos−17 yrs,National,United States,4,56.3,(±0.9),2012-13
692,Children 6 mos−17 yrs,National,United States,5,56.6,(±0.9),2012-13
1364,Children 6 mos−17 yrs,National,United States,8,4.8,(±0.4),2011-12
1365,Children 6 mos−17 yrs,National,United States,9,14.2,(±0.6),2011-12
1366,Children 6 mos−17 yrs,National,United States,10,32.0,(±0.8),2011-12
1367,Children 6 mos−17 yrs,National,United States,11,42.1,(±0.8),2011-12
1368,Children 6 mos−17 yrs,National,United States,12,45.7,(±0.9),2011-12
1369,Children 6 mos−17 yrs,National,United States,1,48.1,(±0.9),2011-12
1370,Children 6 mos−17 yrs,National,United States,2,49.5,(±0.9),2011-12
1371,Children 6 mos−17 yrs,National,United States,3,50.7,(±0.9),2011-12
1372,Children 6 mos−17 yrs,National,United States,4,51.2,(±0.9),2011-12
1373,Children 6 mos−17 yrs,National,United States,5,51.5,(±1.0),2011-12
1984,6 mos−17 yrs,National,United States,8,3.3,(±0.3),2010-11
1985,6 mos−17 yrs,National,United States,9,12.1,(±0.5),2010-11
1986,6 mos−17 yrs,National,United States,10,29.1,(±0.7),2010-11
1987,6 mos−17 yrs,National,United States,11,40.7,(±0.8),2010-11
1988,6 mos−17 yrs,National,United States,12,45.1,(±0.8),2010-11
1989,6 mos−17 yrs,National,United States,1,48.0,(±0.8),2010-11
1990,6 mos−17 yrs,National,United States,2,49.4,(±0.9),2010-11
1991,6 mos−17 yrs,National,United States,3,50.4,(±0.9),2010-11
1992,6 mos−17 yrs,National,United States,4,50.8,(±0.9),2010-11
1993,6 mos−17 yrs,National,United States,5,51.0,(±0.9),2010-11
