,IIV HD,IIV ID,IIV IM,LAIV,age_group,base_overall_coverage,choice,exp_id,multiplier,overall_coverage
0,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,0,0.0325,0.7053750000000001
1,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,0,0.0325,0.4733125
2,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,0,0.0325,0.634375
3,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,0,0.0325,0.65
4,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,0,0.0325,0.5533750000000001
5,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,0,0.0325,0.704
6,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,0,0.0325,0.35550000000000004
7,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,1,0.0325,0.7053750000000001
8,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,1,0.0325,0.4733125
9,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,1,0.0325,0.634375
10,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,1,0.0325,0.65
11,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,1,0.0325,0.5533750000000001
12,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,1,0.0325,0.704
13,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,1,0.0325,0.35550000000000004
14,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,2,0.0325,0.7053750000000001
15,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,2,0.0325,0.4733125
16,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,2,0.0325,0.634375
17,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,2,0.0325,0.65
18,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,2,0.0325,0.5533750000000001
19,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,2,0.0325,0.704
20,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,2,0.0325,0.323
21,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,3,0.0325,0.7053750000000001
22,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,3,0.0325,0.4733125
23,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,3,0.0325,0.634375
24,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,3,0.0325,0.65
25,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,3,0.0325,0.529
26,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,3,0.0325,0.704
27,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,3,0.0325,0.35550000000000004
28,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,4,0.0325,0.7053750000000001
29,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,4,0.0325,0.4733125
30,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,4,0.0325,0.634375
31,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,4,0.0325,0.65
32,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,4,0.0325,0.529
33,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,4,0.0325,0.704
34,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,4,0.0325,0.35550000000000004
35,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,5,0.0325,0.7053750000000001
36,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,5,0.0325,0.4733125
37,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,5,0.0325,0.634375
38,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,5,0.0325,0.65
39,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,5,0.0325,0.529
40,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,5,0.0325,0.704
41,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,5,0.0325,0.323
42,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,6,0.0325,0.7053750000000001
43,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,6,0.0325,0.4733125
44,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,6,0.0325,0.61
45,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,6,0.0325,0.65
46,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,6,0.0325,0.5533750000000001
47,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,6,0.0325,0.704
48,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,6,0.0325,0.35550000000000004
49,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,7,0.0325,0.7053750000000001
50,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,7,0.0325,0.4733125
51,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,7,0.0325,0.61
52,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,7,0.0325,0.65
53,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,7,0.0325,0.5533750000000001
54,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,7,0.0325,0.704
55,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,7,0.0325,0.35550000000000004
56,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,8,0.0325,0.7053750000000001
57,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,8,0.0325,0.4733125
58,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,8,0.0325,0.61
59,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,8,0.0325,0.65
