p_id,gq_id,gq_type,sporder,age,sex
486742825,G110010009013C1,C,1,19,2
486742823,G110010009013C1,C,2,21,2
486742822,G110010009013C1,C,3,23,2
486742821,G110010009013C1,C,4,22,2
486742820,G110010009013C1,C,5,24,2
486742819,G110010009013C1,C,6,18,2
486742818,G110010009013C1,C,7,19,2
486742817,G110010009013C1,C,8,21,2
486742816,G110010009013C1,C,9,20,2
486742815,G110010009013C1,C,10,24,2
486742814,G110010009013C1,C,11,19,2
486742813,G110010009013C1,C,12,18,2
486742812,G110010009013C1,C,13,19,2
486742811,G110010009013C1,C,14,19,2
486742810,G110010009013C1,C,15,22,2
486742809,G110010009013C1,C,16,18,2
486742808,G110010009013C1,C,17,18,2
486742807,G110010009013C1,C,18,24,2
486742806,G110010009013C1,C,19,19,2
486742805,G110010009013C1,C,20,19,2
486742804,G110010009013C1,C,21,20,2
486742803,G110010009013C1,C,22,19,2
486742802,G110010009013C1,C,23,19,2
486742801,G110010009013C1,C,24,19,2
486742800,G110010009013C1,C,25,19,2
486742799,G110010009013C1,C,26,18,2
486742798,G110010009013C1,C,27,19,2
486742797,G110010009013C1,C,28,21,2
486742796,G110010009013C1,C,29,19,2
486742795,G110010009013C1,C,30,19,2
486742794,G110010009013C1,C,31,19,2
486742793,G110010009013C1,C,32,19,2
486742792,G110010009013C1,C,33,21,2
486742791,G110010009013C1,C,34,22,2
486742790,G110010009013C1,C,35,18,2
486742789,G110010009013C1,C,36,20,2
486742788,G110010009013C1,C,37,18,2
486742787,G110010009013C1,C,38,21,2
486742786,G110010009013C1,C,39,23,2
486742785,G110010009013C1,C,40,21,2
486742784,G110010009013C1,C,41,23,2
486742783,G110010009013C1,C,42,19,2
486742782,G110010009013C1,C,43,21,2
486742781,G110010009013C1,C,44,18,2
486742780,G110010009013C1,C,45,21,2
486742779,G110010009013C1,C,46,22,2
486742778,G110010009013C1,C,47,19,2
486742777,G110010009013C1,C,48,18,2
486742776,G110010009013C1,C,49,19,2
486742775,G110010009013C1,C,50,19,2
486742774,G110010009013C1,C,51,19,2
486742773,G110010009013C1,C,52,18,2
486742772,G110010009013C1,C,53,21,2
486742771,G110010009013C1,C,54,21,2
486742770,G110010009013C1,C,55,19,2
486742769,G110010009013C1,C,56,28,2
486742768,G110010009013C1,C,57,18,2
486742767,G110010009013C1,C,58,19,2
486742766,G110010009013C1,C,59,19,2
486742765,G110010009013C1,C,60,24,2
486742764,G110010009013C1,C,61,19,2
486742763,G110010009013C1,C,62,19,2
486742762,G110010009013C1,C,63,21,2
486742761,G110010009013C1,C,64,19,2
486742760,G110010009013C1,C,65,22,2
486742759,G110010009013C1,C,66,21,2
486742758,G110010009013C1,C,67,22,2
486742757,G110010009013C1,C,68,21,2
486742756,G110010009013C1,C,69,28,2
486742755,G110010009013C1,C,70,18,2
486742754,G110010009013C1,C,71,18,2
486742753,G110010009013C1,C,72,27,2
486742752,G110010009013C1,C,73,20,2
486742751,G110010009013C1,C,74,18,2
486742750,G110010009013C1,C,75,24,2
486742749,G110010009013C1,C,76,18,2
486742748,G110010009013C1,C,77,19,2
486742747,G110010009013C1,C,78,21,2
486742746,G110010009013C1,C,79,22,2
486742745,G110010009013C1,C,80,24,2
486742744,G110010009013C1,C,81,19,2
486742743,G110010009013C1,C,82,24,2
486742742,G110010009013C1,C,83,18,2
486742741,G110010009013C1,C,84,21,2
486742740,G110010009013C1,C,85,19,2
486742739,G110010009013C1,C,86,21,2
486742738,G110010009013C1,C,87,23,2
486742737,G110010009013C1,C,88,28,2
486742736,G110010009013C1,C,89,19,2
486742735,G110010009013C1,C,90,18,2
486742734,G110010009013C1,C,91,23,2
486742733,G110010009013C1,C,92,20,2
486742732,G110010009013C1,C,93,19,2
486742731,G110010009013C1,C,94,18,2
486742730,G110010009013C1,C,95,21,2
486742729,G110010009013C1,C,96,19,2
486742728,G110010009013C1,C,97,22,2
486742727,G110010009013C1,C,98,19,2
486742726,G110010009013C1,C,99,20,2
486742725,G110010009013C1,C,100,20,2
486742724,G110010009013C1,C,101,24,2
486742723,G110010009013C1,C,102,27,2
486742722,G110010009013C1,C,103,18,2
486742721,G110010009013C1,C,104,22,2
486742720,G110010009013C1,C,105,19,2
486742719,G110010009013C1,C,106,18,2
486742718,G110010009013C1,C,107,21,2
486742717,G110010009013C1,C,108,23,2
486742716,G110010009013C1,C,109,18,2
486742715,G110010009013C1,C,110,19,2
486742714,G110010009013C1,C,111,22,2
486742713,G110010009013C1,C,112,19,2
486742712,G110010009013C1,C,113,20,2
486742711,G110010009013C1,C,114,22,2
486742710,G110010009013C1,C,115,19,2
486742709,G110010009013C1,C,116,18,2
486742708,G110010009013C1,C,117,22,2
486742707,G110010009013C1,C,118,22,2
486742706,G110010009013C1,C,119,21,2
486742705,G110010009013C1,C,120,20,2
